Global_ID,Cases,Cases_ID,Angle,Vertical_Steps_Section,Horizontal_Steps_Plan,Balcony_Steps,PV_Canopy_Steps,Vertical_Louvre_Steps,sDA,ASE,UDI_Middle,UDI_Low,UDI_High,Winter_Average_Radation_kWh/m2,Summer_Average_Radation_kWh/m2,Area_Active_Solar_Potential,PercArea_Active_Solar_Potential,Area_PV_Potential,PercArea_PV_Potential,Glass_Area,Opaque_Area,Surface_Area,Floor_Area,S/F_RATIO,Canopy_Area,Handrail_Area,Louvers_Area,
Case_098,Back,Back_098,0,-1.2,1.2,0,1.2,0.6,74.23,44.93,60.92,12.75,26.33,372.45,16.51,17.82,21.57,44.96,54.41,43.74,64.8,108.54,116.64,0.93,19.44,0,17.82,
Case_099,Back,Back_099,0,-1.2,1.2,0,1.2,1.2,62.21,39.163333,64.55,14.46,20.99,290.53,11,17.17,17.1,52.49,52.26,43.74,64.8,108.54,116.64,0.93,19.44,0,35.64,
Case_100,Back,Back_100,0,-1.2,1.2,0.6,0,0,79.61,51.26,53.43,11.23,35.34,464.13,26.79,0.81,1.35,55.48,92.57,43.74,64.8,108.54,116.64,0.93,0,14.58,0,
Case_101,Back,Back_101,0,-1.2,1.2,0.6,0,0.6,72.37,47.916667,56.95,12.53,30.52,399.59,21.57,10.94,14.06,63.18,81.25,43.74,64.8,108.54,116.64,0.93,0,14.58,17.82,
Case_102,Back,Back_102,0,-1.2,1.2,0.6,0,1.2,64.4,43.276667,59.66,14.15,26.19,324.48,16.25,30.05,31.44,61.88,64.75,43.74,64.8,108.54,116.64,0.93,0,14.58,35.64,
Case_103,Back,Back_103,0,-1.2,1.2,0.6,0.6,0,79.71,50.953333,54.14,11.32,34.54,408.31,22.09,14.58,20.93,48.2,69.19,43.74,64.8,108.54,116.64,0.93,9.72,14.58,0,
Case_104,Back,Back_104,0,-1.2,1.2,0.6,0.6,0.6,73.2,47.916667,57.92,12.69,29.39,345.97,17.16,24.3,27.78,56.3,64.35,43.74,64.8,108.54,116.64,0.93,9.72,14.58,17.82,
Case_105,Back,Back_105,0,-1.2,1.2,0.6,0.6,1.2,61.89,42.71,60.56,14.4,25.05,277.67,12.32,33.63,31.94,59.56,56.56,43.74,64.8,108.54,116.64,0.93,9.72,14.58,35.64,
Case_106,Back,Back_106,0,-1.2,1.2,0.6,1.2,0,78.82,49.873333,56.8,11.58,31.62,345,17.88,21.06,26.53,44.96,56.63,43.74,64.8,108.54,116.64,0.93,19.44,14.58,0,
Case_107,Back,Back_107,0,-1.2,1.2,0.6,1.2,0.6,71.87,44.93,61.14,13.07,25.8,286.99,13.34,14.58,15,59.13,60.83,43.74,64.8,108.54,116.64,0.93,19.44,14.58,17.82,
Case_108,Back,Back_108,0,-1.2,1.2,0.6,1.2,1.2,60.64,39.163333,64.38,14.92,20.7,225.06,8.79,18.2,15.82,66.04,57.42,43.74,64.8,108.54,116.64,0.93,19.44,14.58,35.64,
Case_109,Back,Back_109,0,-1.2,1.2,1.2,0,0,78.07,51.26,53.85,11.41,34.75,429.68,24.38,4.86,8.11,51.43,85.81,43.74,64.8,108.54,116.64,0.93,0,14.58,0,
Case_110,Back,Back_110,0,-1.2,1.2,1.2,0,0.6,72.23,47.61,57.29,12.8,29.91,363.9,19.39,13.64,17.53,56.83,73.09,43.74,64.8,108.54,116.64,0.93,0,14.58,17.82,
Case_111,Back,Back_111,0,-1.2,1.2,1.2,0,1.2,61.73,43.276667,59.53,14.57,25.9,303.9,15.04,23.57,24.66,61.88,64.75,43.74,64.8,108.54,116.64,0.93,0,14.58,35.64,
Case_112,Back,Back_112,0,-1.2,1.2,1.2,0.6,0,78.57,50.953333,54.42,11.4,34.18,379.76,20.01,18.49,26.55,42.12,60.47,43.74,64.8,108.54,116.64,0.93,9.72,14.58,0,
